STATION,PERIOD,RIDERS_PER_WEEKDAY
L'Enfant Plaza,AM Peak,31008.8
L'Enfant Plaza,Evening,16563.9
L'Enfant Plaza,Late Night Peak,145.9
L'Enfant Plaza,Midday,38464.9
L'Enfant Plaza,PM Peak,149443.69999999998
Landover,AM Peak,14023.599999999999
Landover,Evening,1126.7
Landover,Late Night Peak,36.2
Landover,Midday,4109.599999999999
Landover,PM Peak,2199.6
Largo Town Center,AM Peak,36713.1
Largo Town Center,Evening,3103.1
Largo Town Center,Late Night Peak,105.19999999999999
Largo Town Center,Midday,8763.7
Largo Town Center,PM Peak,5992.599999999999
McLean,AM Peak,8283.4
McLean,Evening,1050.9
McLean,Late Night Peak,15.5
McLean,Midday,3319.3999999999996
McLean,PM Peak,6341.5
McPherson Square,AM Peak,18948.1
McPherson Square,Evening,24710.8
McPherson Square,Late Night Peak,621.0000000000001
McPherson Square,Midday,29448.7
McPherson Square,PM Peak,104135.59999999999
Medical Center,AM Peak,9787.4
Medical Center,Evening,7301.2
Medical Center,Late Night Peak,60.7
Medical Center,Midday,10819.3
Medical Center,PM Peak,38730.1
Metro Center,AM Peak,19534.1
Metro Center,Evening,63509.9
Metro Center,Late Night Peak,1264.8
Metro Center,Midday,52237.8
Metro Center,PM Peak,171368.4
Minnesota Avenue,AM Peak,12212.399999999998
Minnesota Avenue,Evening,2448.7
Minnesota Avenue,Late Night Peak,78.39999999999999
Minnesota Avenue,Midday,8480.4
Minnesota Avenue,PM Peak,7320.899999999999
Morgan Blvd.,AM Peak,16086.800000000001
Morgan Blvd.,Evening,1668.4999999999998
Morgan Blvd.,Late Night Peak,154.3
Morgan Blvd.,Midday,4112.3
Morgan Blvd.,PM Peak,2420.2000000000003
Mt. Vernon Square-UDC,AM Peak,14960.800000000001
Mt. Vernon Square-UDC,Evening,8065.299999999999
Mt. Vernon Square-UDC,Late Night Peak,276.2
Mt. Vernon Square-UDC,Midday,10644.499999999998
Mt. Vernon Square-UDC,PM Peak,19736.0
Navy Yard,AM Peak,12615.000000000002
Navy Yard,Evening,29363.5
Navy Yard,Late Night Peak,500.1
Navy Yard,Midday,14155.8
Navy Yard,PM Peak,44930.3
Naylor Road,AM Peak,18432.5
Naylor Road,Evening,2174.7000000000003
Naylor Road,Late Night Peak,67.30000000000001
Naylor Road,Midday,7237.0
Naylor Road,PM Peak,4119.5
New Carrollton,AM Peak,61027.8
New Carrollton,Evening,3896.2000000000003
New Carrollton,Late Night Peak,67.9
New Carrollton,Midday,16539.199999999997
New Carrollton,PM Peak,11301.300000000001
New York Ave,AM Peak,32036.9
New York Ave,Evening,8874.2
New York Ave,Late Night Peak,265.7
New York Ave,Midday,21280.899999999998
New York Ave,PM Peak,45908.00000000001
Pentagon,AM Peak,66111.79999999999
Pentagon,Evening,6098.1
Pentagon,Late Night Peak,47.099999999999994
Pentagon,Midday,31925.9
Pentagon,PM Peak,69466.9
Pentagon City,AM Peak,61470.6
Pentagon City,Evening,20169.7
Pentagon City,Late Night Peak,171.0
Pentagon City,Midday,36132.40000000001
Pentagon City,PM Peak,42323.5
Potomac Avenue,AM Peak,23108.7
Potomac Avenue,Evening,2985.4
Potomac Avenue,Late Night Peak,74.60000000000001
Potomac Avenue,Midday,10153.6
Potomac Avenue,PM Peak,6778.5
Prince George's Plaza,AM Peak,26585.799999999996
Prince George's Plaza,Evening,5579.2
Prince George's Plaza,Late Night Peak,121.10000000000001
Prince George's Plaza,Midday,12754.6
Prince George's Plaza,PM Peak,11266.200000000003
Reagan Washington National Airport,AM Peak,9442.5
Reagan Washington National Airport,Evening,18694.2
Reagan Washington National Airport,Late Night Peak,272.6
Reagan Washington National Airport,Midday,25130.8
Reagan Washington National Airport,PM Peak,23465.7
Rhode Island Avenue,AM Peak,30298.8
Rhode Island Avenue,Evening,5629.400000000001
Rhode Island Avenue,Late Night Peak,141.60000000000002
Rhode Island Avenue,Midday,17526.6
Rhode Island Avenue,PM Peak,14762.7
Rockville,AM Peak,24992.7
Rockville,Evening,3936.0000000000005
Rockville,Late Night Peak,75.4
Rockville,Midday,10834.400000000001
Rockville,PM Peak,11731.1
Rosslyn,AM Peak,49200.40000000001
Rosslyn,Evening,17009.100000000002
Rosslyn,Late Night Peak,310.59999999999997
Rosslyn,Midday,35202.299999999996
Rosslyn,PM Peak,69315.40000000001
Shady Grove,AM Peak,95867.90000000001
Shady Grove,Evening,4496.6
Shady Grove,Late Night Peak,81.10000000000001
Shady Grove,Midday,24452.1
Shady Grove,PM Peak,17114.899999999998
Shaw-Howard University,AM Peak,18524.3
Shaw-Howard University,Evening,8798.6
Shaw-Howard University,Late Night Peak,585.4
Shaw-Howard University,Midday,13554.099999999999
Shaw-Howard University,PM Peak,18926.2
Silver Spring,AM Peak,69755.8
Silver Spring,Evening,12146.599999999999
Silver Spring,Late Night Peak,367.8
Silver Spring,Midday,30168.2
Silver Spring,PM Peak,35807.2
Smithsonian,AM Peak,3322.7
Smithsonian,Evening,11838.199999999999
Smithsonian,Late Night Peak,147.50000000000003
Smithsonian,Midday,24639.499999999996
Smithsonian,PM Peak,79306.5
Southern Avenue,AM Peak,35587.19999999999
Southern Avenue,Evening,3229.9000000000005
Southern Avenue,Late Night Peak,85.2
Southern Avenue,Midday,12447.100000000002
Southern Avenue,PM Peak,6512.499999999999
Spring Hill,AM Peak,5340.1
Spring Hill,Evening,1726.3999999999999
Spring Hill,Late Night Peak,21.599999999999998
Spring Hill,Midday,2887.5
Spring Hill,PM Peak,5004.2
Stadium-Armory,AM Peak,13209.199999999997
Stadium-Armory,Evening,3315.3999999999996
Stadium-Armory,Late Night Peak,81.60000000000001
Stadium-Armory,Midday,7784.399999999999
Stadium-Armory,PM Peak,6786.599999999999
Suitland,AM Peak,35242.200000000004
Suitland,Evening,3172.5000000000005
Suitland,Late Night Peak,82.1
Suitland,Midday,11746.300000000001
Suitland,PM Peak,10949.900000000001
Takoma,AM Peak,36157.9
Takoma,Evening,3794.7999999999997
Takoma,Late Night Peak,103.09999999999998
Takoma,Midday,14604.0
Takoma,PM Peak,9595.9
Tenleytown-AU,AM Peak,21280.3
Tenleytown-AU,Evening,10340.9
Tenleytown-AU,Late Night Peak,150.29999999999998
Tenleytown-AU,Midday,16930.9
Tenleytown-AU,PM Peak,28078.700000000004
Twinbrook,AM Peak,25541.3
Twinbrook,Evening,3009.2999999999997
Twinbrook,Late Night Peak,77.6
Twinbrook,Midday,10085.999999999998
Twinbrook,PM Peak,11403.000000000002
Tysons Corner,AM Peak,6313.799999999999
Tysons Corner,Evening,8495.7
Tysons Corner,Late Night Peak,132.8
Tysons Corner,Midday,6374.0
Tysons Corner,PM Peak,15398.899999999998
U Street-Cardozo,AM Peak,24443.3
U Street-Cardozo,Evening,19943.6
U Street-Cardozo,Late Night Peak,3084.7
U Street-Cardozo,Midday,14945.999999999998
U Street-Cardozo,PM Peak,22664.9
Union Station,AM Peak,109712.0
Union Station,Evening,42372.7
Union Station,Late Night Peak,713.5
Union Station,Midday,65616.5
Union Station,PM Peak,139273.8
Van Dorn Street,AM Peak,25301.800000000003
Van Dorn Street,Evening,1882.6999999999996
Van Dorn Street,Late Night Peak,33.4
Van Dorn Street,Midday,5842.0
Van Dorn Street,PM Peak,4409.0
Van Ness-UDC,AM Peak,29732.100000000002
Van Ness-UDC,Evening,7427.0
Van Ness-UDC,Late Night Peak,95.59999999999997
Van Ness-UDC,Midday,17056.899999999998
Van Ness-UDC,PM Peak,18616.2
Vienna,AM Peak,86862.00000000001
Vienna,Evening,4488.0
Vienna,Late Night Peak,68.39999999999999
Vienna,Midday,20371.0
Vienna,PM Peak,13959.4
Virginia Square-GMU,AM Peak,22567.7
Virginia Square-GMU,Evening,3765.1
Virginia Square-GMU,Late Night Peak,60.599999999999994
Virginia Square-GMU,Midday,8363.2
Virginia Square-GMU,PM Peak,11729.500000000002
Waterfront,AM Peak,15524.500000000002
Waterfront,Evening,5384.900000000001
Waterfront,Late Night Peak,165.10000000000002
Waterfront,Midday,11400.100000000002
Waterfront,PM Peak,15212.900000000001
West Falls Church,AM Peak,23266.0
West Falls Church,Evening,1351.3
West Falls Church,Late Night Peak,32.0
West Falls Church,Midday,6064.1
West Falls Church,PM Peak,3597.8
West Hyattsville,AM Peak,24955.5
West Hyattsville,Evening,2366.8999999999996
West Hyattsville,Late Night Peak,58.900000000000006
West Hyattsville,Midday,9647.199999999999
West Hyattsville,PM Peak,6523.999999999999
Wheaton,AM Peak,25075.100000000006
