STATION,PERIOD,RIDERS_PER_WEEKDAY
Reagan Washington National Airport,Evening,1315.6
Reagan Washington National Airport,Late Night Peak,15.049999999999999
Reagan Washington National Airport,Midday,1712.3000000000002
Reagan Washington National Airport,PM Peak,1676.4
Rhode Island Avenue,AM Peak,2568.5
Rhode Island Avenue,Evening,386.95000000000005
Rhode Island Avenue,Late Night Peak,8.5
Rhode Island Avenue,Midday,1337.45
Rhode Island Avenue,PM Peak,1147.15
Rockville,AM Peak,2007.1499999999999
Rockville,Evening,278.0
Rockville,Late Night Peak,4.6
Rockville,Midday,804.6
Rockville,PM Peak,896.05
Rosslyn,AM Peak,3760.1000000000004
Rosslyn,Evening,1191.6999999999998
Rosslyn,Late Night Peak,14.95
Rosslyn,Midday,2441.8
Rosslyn,PM Peak,5411.15
Shady Grove,AM Peak,7705.6
Shady Grove,Evening,289.35
Shady Grove,Late Night Peak,4.5
Shady Grove,Midday,1748.75
Shady Grove,PM Peak,1209.4
Shaw-Howard University,AM Peak,1573.35
Shaw-Howard University,Evening,603.6500000000001
Shaw-Howard University,Late Night Peak,32.900000000000006
Shaw-Howard University,Midday,1008.1500000000001
Shaw-Howard University,PM Peak,1525.6999999999998
Silver Spring,AM Peak,5752.85
Silver Spring,Evening,839.7
Silver Spring,Late Night Peak,23.0
Silver Spring,Midday,2257.75
Silver Spring,PM Peak,2762.0
Smithsonian,AM Peak,224.75
Smithsonian,Evening,418.25
Smithsonian,Late Night Peak,3.8
Smithsonian,Midday,1205.35
Smithsonian,PM Peak,4783.45
Southern Avenue,AM Peak,2769.3
Southern Avenue,Evening,224.15
Southern Avenue,Late Night Peak,6.0
Southern Avenue,Midday,1006.05
Southern Avenue,PM Peak,506.7
Spring Hill,AM Peak,347.04999999999995
Spring Hill,Evening,116.15
Spring Hill,Late Night Peak,1.05
Spring Hill,Midday,176.1
Spring Hill,PM Peak,363.75
Stadium-Armory,AM Peak,1130.65
Stadium-Armory,Evening,146.0
Stadium-Armory,Late Night Peak,5.15
Stadium-Armory,Midday,577.7
Stadium-Armory,PM Peak,499.65
Suitland,AM Peak,2783.55
Suitland,Evening,209.0
Suitland,Late Night Peak,3.55
Suitland,Midday,873.05
Suitland,PM Peak,827.55
Takoma,AM Peak,2963.7
Takoma,Evening,244.20000000000002
Takoma,Late Night Peak,5.9
Takoma,Midday,1062.1
Takoma,PM Peak,714.6
Tenleytown-AU,AM Peak,1675.85
Tenleytown-AU,Evening,899.8
Tenleytown-AU,Late Night Peak,10.35
Tenleytown-AU,Midday,1350.7
Tenleytown-AU,PM Peak,2333.0
Twinbrook,AM Peak,2055.1
Twinbrook,Evening,214.7
Twinbrook,Late Night Peak,3.2
Twinbrook,Midday,732.2
Twinbrook,PM Peak,923.25
Tysons Corner,AM Peak,512.1
Tysons Corner,Evening,607.35
Tysons Corner,Late Night Peak,9.649999999999999
Tysons Corner,Midday,428.04999999999995
Tysons Corner,PM Peak,1215.55
U Street-Cardozo,AM Peak,2025.4
U Street-Cardozo,Evening,1325.45
U Street-Cardozo,Late Night Peak,153.2
U Street-Cardozo,Midday,1109.65
U Street-Cardozo,PM Peak,1797.2
Union Station,AM Peak,8937.15
Union Station,Evening,2840.15
Union Station,Late Night Peak,40.95
Union Station,Midday,4800.65
Union Station,PM Peak,10760.7
Van Dorn Street,AM Peak,2063.25
Van Dorn Street,Evening,128.1
Van Dorn Street,Late Night Peak,1.65
Van Dorn Street,Midday,397.8
Van Dorn Street,PM Peak,306.29999999999995
Van Ness-UDC,AM Peak,2434.75
Van Ness-UDC,Evening,603.3499999999999
Van Ness-UDC,Late Night Peak,4.65
Van Ness-UDC,Midday,1303.2
Van Ness-UDC,PM Peak,1489.05
Vienna,AM Peak,6573.05
Vienna,Evening,296.05
Vienna,Late Night Peak,3.0999999999999996
Vienna,Midday,1326.65
Vienna,PM Peak,957.9
Virginia Square-GMU,AM Peak,1841.0
Virginia Square-GMU,Evening,275.4
Virginia Square-GMU,Late Night Peak,3.3499999999999996
Virginia Square-GMU,Midday,626.25
Virginia Square-GMU,PM Peak,885.6500000000001
Waterfront,AM Peak,1351.9
Waterfront,Evening,345.4
Waterfront,Late Night Peak,7.0
Waterfront,Midday,892.6500000000001
Waterfront,PM Peak,1230.9
West Falls Church,AM Peak,1820.5500000000002
West Falls Church,Evening,80.15
West Falls Church,Late Night Peak,1.4
West Falls Church,Midday,428.75
West Falls Church,PM Peak,234.45
West Hyattsville,AM Peak,1951.4
West Hyattsville,Evening,148.25
West Hyattsville,Late Night Peak,2.9000000000000004
West Hyattsville,Midday,723.2
West Hyattsville,PM Peak,477.1
Wheaton,AM Peak,2021.25
Wheaton,Evening,287.4
Wheaton,Late Night Peak,2.55
Wheaton,Midday,750.45
Wheaton,PM Peak,564.35
White Flint,AM Peak,1480.2
White Flint,Evening,244.05
White Flint,Late Night Peak,5.1
White Flint,Midday,658.4000000000001
White Flint,PM Peak,1092.1999999999998
Wiehle,AM Peak,4515.200000000001
Wiehle,Evening,255.10000000000002
Wiehle,Late Night Peak,3.1500000000000004
Wiehle,Midday,917.5
Wiehle,PM Peak,1257.3
Woodley Park-Zoo,AM Peak,2382.2
Woodley Park-Zoo,Evening,527.4
Woodley Park-Zoo,Late Night Peak,26.85
Woodley Park-Zoo,Midday,1275.1
Woodley Park-Zoo,PM Peak,1153.2
