STATION,PERIOD,RIDERS_PER_WEEKDAY
Rhode Island Avenue,Late Night Peak,836.1999999999999
Rhode Island Avenue,Midday,94623.79999999999
Rhode Island Avenue,PM Peak,78858.69999999998
Rockville,AM Peak,148797.4
Rockville,Evening,23727.200000000004
Rockville,Late Night Peak,529.8000000000001
Rockville,Midday,64439.99999999999
Rockville,PM Peak,68002.0
Rosslyn,AM Peak,282397.7
Rosslyn,Evening,104523.7
Rosslyn,Late Night Peak,2318.0999999999995
Rosslyn,Midday,211257.3
Rosslyn,PM Peak,420694.8
Shady Grove,AM Peak,589239.8000000002
Shady Grove,Evening,26698.10000000001
Shady Grove,Late Night Peak,532.0
Shady Grove,Midday,140727.5
Shady Grove,PM Peak,94125.5
Shaw-Howard University,AM Peak,93510.90000000001
Shaw-Howard University,Evening,44820.899999999994
Shaw-Howard University,Late Night Peak,2817.1000000000004
Shaw-Howard University,Midday,78425.2
Shaw-Howard University,PM Peak,104006.90000000001
Silver Spring,AM Peak,386288.1
Silver Spring,Evening,73272.90000000004
Silver Spring,Late Night Peak,2763.7
Silver Spring,Midday,174960.80000000002
Silver Spring,PM Peak,202657.30000000002
Smithsonian,AM Peak,20173.900000000005
Smithsonian,Evening,73252.59999999999
Smithsonian,Late Night Peak,773.2000000000002
Smithsonian,Midday,149842.0
Smithsonian,PM Peak,474700.8
Southern Avenue,AM Peak,225751.50000000003
Southern Avenue,Evening,19282.199999999997
Southern Avenue,Late Night Peak,544.0000000000001
Southern Avenue,Midday,68436.90000000001
Southern Avenue,PM Peak,36472.799999999996
Spring Hill,AM Peak,8545.1
Spring Hill,Evening,2747.3999999999996
Spring Hill,Late Night Peak,35.699999999999996
Spring Hill,Midday,4494.3
Spring Hill,PM Peak,8188.4
Stadium-Armory,AM Peak,74047.2
Stadium-Armory,Evening,20219.0
Stadium-Armory,Late Night Peak,793.9000000000002
Stadium-Armory,Midday,47312.69999999999
Stadium-Armory,PM Peak,45764.700000000004
Suitland,AM Peak,219369.2
Suitland,Evening,20909.8
Suitland,Late Night Peak,527.4000000000002
Suitland,Midday,69539.20000000001
Suitland,PM Peak,70267.8
Takoma,AM Peak,208878.5
Takoma,Evening,23416.7
Takoma,Late Night Peak,609.9999999999998
Takoma,Midday,83504.4
Takoma,PM Peak,59744.200000000004
Tenleytown-AU,AM Peak,120747.09999999996
Tenleytown-AU,Evening,71116.29999999999
Tenleytown-AU,Late Night Peak,1263.0000000000002
Tenleytown-AU,Midday,100685.49999999997
Tenleytown-AU,PM Peak,166375.09999999995
Twinbrook,AM Peak,146078.2
Twinbrook,Evening,18328.400000000005
Twinbrook,Late Night Peak,432.8999999999999
Twinbrook,Midday,59464.50000000001
Twinbrook,PM Peak,64891.49999999998
Tysons Corner,AM Peak,9868.400000000001
Tysons Corner,Evening,13812.3
Tysons Corner,Late Night Peak,207.0
Tysons Corner,Midday,10117.199999999999
Tysons Corner,PM Peak,24432.9
U Street-Cardozo,AM Peak,131542.09999999998
U Street-Cardozo,Evening,109621.5
U Street-Cardozo,Late Night Peak,19201.799999999992
U Street-Cardozo,Midday,87732.70000000001
U Street-Cardozo,PM Peak,117705.19999999998
Union Station,AM Peak,624293.4000000001
Union Station,Evening,258016.69999999995
Union Station,Late Night Peak,5289.8
Union Station,Midday,386968.0
Union Station,PM Peak,803241.9999999999
Van Dorn Street,AM Peak,144771.7
Van Dorn Street,Evening,12032.900000000003
Van Dorn Street,Late Night Peak,343.6
Van Dorn Street,Midday,37428.50000000001
Van Dorn Street,PM Peak,27793.50000000001
Van Ness-UDC,AM Peak,173780.50000000003
Van Ness-UDC,Evening,47813.5
Van Ness-UDC,Late Night Peak,719.8000000000002
Van Ness-UDC,Midday,104443.8
Van Ness-UDC,PM Peak,113757.80000000002
Vienna,AM Peak,576478.5
Vienna,Evening,30651.799999999992
Vienna,Late Night Peak,711.9
Vienna,Midday,125817.40000000001
Vienna,PM Peak,86911.99999999999
Virginia Square-GMU,AM Peak,118366.69999999998
Virginia Square-GMU,Evening,22351.499999999996
Virginia Square-GMU,Late Night Peak,402.7999999999999
Virginia Square-GMU,Midday,45108.2
Virginia Square-GMU,PM Peak,66769.8
Waterfront,AM Peak,84541.00000000004
Waterfront,Evening,33384.49999999999
Waterfront,Late Night Peak,1121.0
Waterfront,Midday,66262.4
Waterfront,PM Peak,83160.10000000003
West Falls Church,AM Peak,349210.5
West Falls Church,Evening,26352.50000000001
West Falls Church,Late Night Peak,299.6
West Falls Church,Midday,81295.70000000003
West Falls Church,PM Peak,85735.20000000001
West Hyattsville,AM Peak,138253.2
West Hyattsville,Evening,14841.700000000003
West Hyattsville,Late Night Peak,423.3999999999998
West Hyattsville,Midday,55822.4
West Hyattsville,PM Peak,36643.79999999999
Wheaton,AM Peak,139242.50000000003
Wheaton,Evening,26522.2
Wheaton,Late Night Peak,480.79999999999995
Wheaton,Midday,59147.8
Wheaton,PM Peak,46940.49999999999
White Flint,AM Peak,103400.4
White Flint,Evening,20162.3
White Flint,Late Night Peak,583.0999999999999
White Flint,Midday,51198.999999999985
White Flint,PM Peak,81045.7
Wiehle,AM Peak,93631.40000000001
Wiehle,Evening,6810.300000000001
Wiehle,Late Night Peak,89.90000000000002
Wiehle,Midday,24161.0
Wiehle,PM Peak,28765.5
Woodley Park-Zoo,AM Peak,171183.40000000005
Woodley Park-Zoo,Evening,57034.40000000001
Woodley Park-Zoo,Late Night Peak,5453.000000000003
Woodley Park-Zoo,Midday,119569.59999999999
Woodley Park-Zoo,PM Peak,118103.0
